idiom,idiom_token
pull a fast one,<BERTRAM:IDpullafastoneID>
kick up a fuss,<BERTRAM:IDkickupafussID>
make a virtue of necessity,<BERTRAM:IDmakeavirtueofnecessityID>
look before you leap,<BERTRAM:IDlookbeforeyouleapID>
by the by,<BERTRAM:IDbythebyID>
burn the midnight oil,<BERTRAM:IDburnthemidnightoilID>
hum and haw,<BERTRAM:IDhumandhawID>
no spring chicken,<BERTRAM:IDnospringchickenID>
cook the books,<BERTRAM:IDcookthebooksID>
only time will tell,<BERTRAM:IDonlytimewilltellID>
rest on your laurels,<BERTRAM:IDrestonyourlaurelsID>
in the driver's seat,<BERTRAM:IDinthedriversseatID>
play to the gallery,<BERTRAM:IDplaytothegalleryID>
beside yourself,<BERTRAM:IDbesideyourselfID>
to a T,<BERTRAM:IDtoatID>
rack your brain,<BERTRAM:IDrackyourbrainID>
holy of holies,<BERTRAM:IDholyofholiesID>
hammer and tongs,<BERTRAM:IDhammerandtongsID>
sell like hot cakes,<BERTRAM:IDselllikehotcakesID>
look the other way,<BERTRAM:IDlooktheotherwayID>
high and low,<BERTRAM:IDhighandlowID>
bright young thing,<BERTRAM:IDbrightyoungthingID>
stand the test of time,<BERTRAM:IDstandthetestoftimeID>
move the goalposts,<BERTRAM:IDmovethegoalpostsID>
under your belt,<BERTRAM:IDunderyourbeltID>
pick someone's brains,<BERTRAM:IDpicksomeonesbrainsID>
put down roots,<BERTRAM:IDputdownrootsID>
the biter bit,<BERTRAM:IDthebiterbitID>
show someone the door,<BERTRAM:IDshowsomeonethedoorID>
say uncle,<BERTRAM:IDsayuncleID>
drop someone a line,<BERTRAM:IDdropsomeonealineID>
bark up the wrong tree,<BERTRAM:IDbarkupthewrongtreeID>
jack of all trades,<BERTRAM:IDjackofalltradesID>
go to seed,<BERTRAM:IDgotoseedID>
smell of the lamp,<BERTRAM:IDsmellofthelampID>
play the field,<BERTRAM:IDplaythefieldID>
much of a muchness,<BERTRAM:IDmuchofamuchnessID>
fall in line,<BERTRAM:IDfallinlineID>
moment of truth,<BERTRAM:IDmomentoftruthID>
friends in high places,<BERTRAM:IDfriendsinhighplacesID>
six of the best,<BERTRAM:IDsixofthebestID>
in living memory,<BERTRAM:IDinlivingmemoryID>
sitting pretty,<BERTRAM:IDsittingprettyID>
smell a rat,<BERTRAM:IDsmellaratID>
come up smelling of roses,<BERTRAM:IDcomeupsmellingofrosesID>
tired and emotional,<BERTRAM:IDtiredandemotionalID>
separate the wheat from the chaff,<BERTRAM:IDseparatethewheatfromthechaffID>
hang by a thread,<BERTRAM:IDhangbyathreadID>
mutton dressed as lamb,<BERTRAM:IDmuttondressedaslambID>
get your feet wet,<BERTRAM:IDgetyourfeetwetID>
hold your own,<BERTRAM:IDholdyourownID>
in your dreams,<BERTRAM:IDinyourdreamsID>
put the cart before the horse,<BERTRAM:IDputthecartbeforethehorseID>
take the wind out of someone's sails,<BERTRAM:IDtakethewindoutofsomeonessailsID>
I'll eat my hat,<BERTRAM:IDilleatmyhatID>
whoop it up,<BERTRAM:IDwhoopitupID>
upset the apple cart,<BERTRAM:IDupsettheapplecartID>
confirmed bachelor,<BERTRAM:IDconfirmedbachelorID>
the whole shooting match,<BERTRAM:IDthewholeshootingmatchID>
put someone in mind of,<BERTRAM:IDputsomeoneinmindofID>
poor as a church mouse,<BERTRAM:IDpoorasachurchmouseID>
take the rough with the smooth,<BERTRAM:IDtaketheroughwiththesmoothID>
on the horns of a dilemma,<BERTRAM:IDonthehornsofadilemmaID>
you scratch my back and I'll scratch yours,<BERTRAM:IDyouscratchmybackandillscratchyoursID>
ride shotgun,<BERTRAM:IDrideshotgunID>
tough as old boots,<BERTRAM:IDtoughasoldbootsID>
between a rock and a hard place,<BERTRAM:IDbetweenarockandahardplaceID>
cross the Rubicon,<BERTRAM:IDcrosstherubiconID>
for donkey's years,<BERTRAM:IDfordonkeysyearsID>
heart to heart,<BERTRAM:IDhearttoheartID>
in your face,<BERTRAM:IDinyourfaceID>
Jekyll and Hyde,<BERTRAM:IDjekyllandhydeID>
every trick in the book,<BERTRAM:IDeverytrickinthebookID>
kiss and make up,<BERTRAM:IDkissandmakeupID>
go places,<BERTRAM:IDgoplacesID>
go to the dogs,<BERTRAM:IDgotothedogsID>
tan someone's hide,<BERTRAM:IDtansomeoneshideID>
collect dust,<BERTRAM:IDcollectdustID>
tempt providence,<BERTRAM:IDtemptprovidenceID>
on your high horse,<BERTRAM:IDonyourhighhorseID>
turn up trumps,<BERTRAM:IDturnuptrumpsID>
go begging,<BERTRAM:IDgobeggingID>
mum's the word,<BERTRAM:IDmumsthewordID>
pop the question,<BERTRAM:IDpopthequestionID>
ride the rails,<BERTRAM:IDridetherailsID>
below the belt,<BERTRAM:IDbelowthebeltID>
greasy spoon,<BERTRAM:IDgreasyspoonID>
muddy the waters,<BERTRAM:IDmuddythewatersID>
tilt at windmills,<BERTRAM:IDtiltatwindmillsID>
fly in the face of,<BERTRAM:IDflyinthefaceofID>
stand on ceremony,<BERTRAM:IDstandonceremonyID>
sitting duck,<BERTRAM:IDsittingduckID>
dead as a doornail,<BERTRAM:IDdeadasadoornailID>
one good turn deserves another,<BERTRAM:IDonegoodturndeservesanotherID>
rise through the ranks,<BERTRAM:IDrisethroughtheranksID>
up shit creek,<BERTRAM:IDupshitcreekID>
sling your hook,<BERTRAM:IDslingyourhookID>
joined at the hip,<BERTRAM:IDjoinedatthehipID>
alive and kicking,<BERTRAM:IDaliveandkickingID>
hit a nerve,<BERTRAM:IDhitanerveID>
to the nth degree,<BERTRAM:IDtothenthdegreeID>
from pillar to post,<BERTRAM:IDfrompillartopostID>
go for the jugular,<BERTRAM:IDgoforthejugularID>
lose your shirt,<BERTRAM:IDloseyourshirtID>
crash and burn,<BERTRAM:IDcrashandburnID>
hack it,<BERTRAM:IDhackitID>
have your work cut out,<BERTRAM:IDhaveyourworkcutoutID>
hot and bothered,<BERTRAM:IDhotandbotheredID>
every nook and cranny,<BERTRAM:IDeverynookandcrannyID>
everything but the kitchen sink,<BERTRAM:IDeverythingbutthekitchensinkID>
lose the plot,<BERTRAM:IDlosetheplotID>
too clever by half,<BERTRAM:IDtoocleverbyhalfID>
better the devil you know,<BERTRAM:IDbetterthedevilyouknowID>
nothing doing,<BERTRAM:IDnothingdoingID>
get on someone's wick,<BERTRAM:IDgetonsomeoneswickID>
make light work of,<BERTRAM:IDmakelightworkofID>
there's the rub,<BERTRAM:IDtherestherubID>
long in the tooth,<BERTRAM:IDlonginthetoothID>
turn over a new leaf,<BERTRAM:IDturnoveranewleafID>
chew the cud,<BERTRAM:IDchewthecudID>
build castles in the air,<BERTRAM:IDbuildcastlesintheairID>
public enemy number one,<BERTRAM:IDpublicenemynumberoneID>
put your foot in it,<BERTRAM:IDputyourfootinitID>
feeding frenzy,<BERTRAM:IDfeedingfrenzyID>
up to speed,<BERTRAM:IDuptospeedID>
"out of sight, out of mind",<BERTRAM:IDoutofsightoutofmindID>
turn the other cheek,<BERTRAM:IDturntheothercheekID>
blow a gasket,<BERTRAM:IDblowagasketID>
read my lips,<BERTRAM:IDreadmylipsID>
beggars can't be choosers,<BERTRAM:IDbeggarscantbechoosersID>
more's the pity,<BERTRAM:IDmoresthepityID>
sick as a dog,<BERTRAM:IDsickasadogID>
play it cool,<BERTRAM:IDplayitcoolID>
touch a nerve,<BERTRAM:IDtouchanerveID>
vent your spleen,<BERTRAM:IDventyourspleenID>
get someone's back up,<BERTRAM:IDgetsomeonesbackupID>
keep a straight face,<BERTRAM:IDkeepastraightfaceID>
in apple-pie order,<BERTRAM:IDinapplepieorderID>
sail close to the wind,<BERTRAM:IDsailclosetothewindID>
kick over the traces,<BERTRAM:IDkickoverthetracesID>
like a bat out of hell,<BERTRAM:IDlikeabatoutofhellID>
bread and circuses,<BERTRAM:IDbreadandcircusesID>
fit to be tied,<BERTRAM:IDfittobetiedID>
mark time,<BERTRAM:IDmarktimeID>
talk the talk,<BERTRAM:IDtalkthetalkID>
one-horse race,<BERTRAM:IDonehorseraceID>
bag and baggage,<BERTRAM:IDbagandbaggageID>
smell blood,<BERTRAM:IDsmellbloodID>
hate someone's guts,<BERTRAM:IDhatesomeonesgutsID>
kith and kin,<BERTRAM:IDkithandkinID>
gone with the wind,<BERTRAM:IDgonewiththewindID>
neither fish nor fowl,<BERTRAM:IDneitherfishnorfowlID>
do a runner,<BERTRAM:IDdoarunnerID>
make it snappy,<BERTRAM:IDmakeitsnappyID>
in the blink of an eye,<BERTRAM:IDintheblinkofaneyeID>
on the fiddle,<BERTRAM:IDonthefiddleID>
tread water,<BERTRAM:IDtreadwaterID>
hit the sack,<BERTRAM:IDhitthesackID>
by a long chalk,<BERTRAM:IDbyalongchalkID>
show the flag,<BERTRAM:IDshowtheflagID>
all bets are off,<BERTRAM:IDallbetsareoffID>
no time like the present,<BERTRAM:IDnotimelikethepresentID>
king of beasts,<BERTRAM:IDkingofbeastsID>
touch base,<BERTRAM:IDtouchbaseID>
throw someone to the wolves,<BERTRAM:IDthrowsomeonetothewolvesID>
clean as a whistle,<BERTRAM:IDcleanasawhistleID>
Hobson's choice,<BERTRAM:IDhobsonschoiceID>
drop a brick,<BERTRAM:IDdropabrickID>
two-way street,<BERTRAM:IDtwowaystreetID>
bite your lip,<BERTRAM:IDbiteyourlipID>
flutter the dovecotes,<BERTRAM:IDflutterthedovecotesID>
know the ropes,<BERTRAM:IDknowtheropesID>
up hill and down dale,<BERTRAM:IDuphillanddowndaleID>
pour oil on troubled waters,<BERTRAM:IDpouroilontroubledwatersID>
see a man about a dog,<BERTRAM:IDseeamanaboutadogID>
in the fast lane,<BERTRAM:IDinthefastlaneID>
start off on the wrong foot,<BERTRAM:IDstartoffonthewrongfootID>
throw the book at,<BERTRAM:IDthrowthebookatID>
keep body and soul together,<BERTRAM:IDkeepbodyandsoultogetherID>
an old flame,<BERTRAM:IDanoldflameID>
same difference,<BERTRAM:IDsamedifferenceID>
scarlet woman,<BERTRAM:IDscarletwomanID>
bury the hatchet,<BERTRAM:IDburythehatchetID>
don't hold your breath,<BERTRAM:IDdontholdyourbreathID>
cramp someone's style,<BERTRAM:IDcrampsomeonesstyleID>
it takes two to tango,<BERTRAM:IDittakestwototangoID>
the world and his wife,<BERTRAM:IDtheworldandhiswifeID>
the bee's knees,<BERTRAM:IDthebeeskneesID>
from A to Z,<BERTRAM:IDfromatozID>
grease the wheels,<BERTRAM:IDgreasethewheelsID>
add fuel to the fire,<BERTRAM:IDaddfueltothefireID>
on the up and up,<BERTRAM:IDontheupandupID>
snug as a bug in a rug,<BERTRAM:IDsnugasabuginarugID>
get the show on the road,<BERTRAM:IDgettheshowontheroadID>
green with envy,<BERTRAM:IDgreenwithenvyID>
sick as a parrot,<BERTRAM:IDsickasaparrotID>
cakes and ale,<BERTRAM:IDcakesandaleID>
run someone ragged,<BERTRAM:IDrunsomeoneraggedID>
up the ante,<BERTRAM:IDuptheanteID>
a penny for your thoughts,<BERTRAM:IDapennyforyourthoughtsID>
by leaps and bounds,<BERTRAM:IDbyleapsandboundsID>
bush telegraph,<BERTRAM:IDbushtelegraphID>
be left holding the baby,<BERTRAM:IDbeleftholdingthebabyID>
forty winks,<BERTRAM:IDfortywinksID>
jam tomorrow,<BERTRAM:IDjamtomorrowID>
teething troubles,<BERTRAM:IDteethingtroublesID>
shake a leg,<BERTRAM:IDshakealegID>
once in a blue moon,<BERTRAM:IDonceinabluemoonID>
out of your mind,<BERTRAM:IDoutofyourmindID>
get your teeth into,<BERTRAM:IDgetyourteethintoID>
cut and dried,<BERTRAM:IDcutanddriedID>
take the count,<BERTRAM:IDtakethecountID>
have other fish to fry,<BERTRAM:IDhaveotherfishtofryID>
throw caution to the wind,<BERTRAM:IDthrowcautiontothewindID>
come a cropper,<BERTRAM:IDcomeacropperID>
give head,<BERTRAM:IDgiveheadID>
not give a fig,<BERTRAM:IDnotgiveafigID>
nutty as a fruitcake,<BERTRAM:IDnuttyasafruitcakeID>
throw your weight around,<BERTRAM:IDthrowyourweightaroundID>
down the hatch,<BERTRAM:IDdownthehatchID>
one over the eight,<BERTRAM:IDoneovertheeightID>
up to par,<BERTRAM:IDuptoparID>
batten down the hatches,<BERTRAM:IDbattendownthehatchesID>
money for jam,<BERTRAM:IDmoneyforjamID>
flog a dead horse,<BERTRAM:IDflogadeadhorseID>
part of the furniture,<BERTRAM:IDpartofthefurnitureID>
wake up and smell the coffee,<BERTRAM:IDwakeupandsmellthecoffeeID>
press the panic button,<BERTRAM:IDpressthepanicbuttonID>
at the coalface,<BERTRAM:IDatthecoalfaceID>
live wire,<BERTRAM:IDlivewireID>
par for the course,<BERTRAM:IDparforthecourseID>
brass monkey,<BERTRAM:IDbrassmonkeyID>
slap and tickle,<BERTRAM:IDslapandtickleID>
come in from the cold,<BERTRAM:IDcomeinfromthecoldID>
clear the decks,<BERTRAM:IDclearthedecksID>
at daggers drawn,<BERTRAM:IDatdaggersdrawnID>
dead to the world,<BERTRAM:IDdeadtotheworldID>
bite someone's head off,<BERTRAM:IDbitesomeonesheadoffID>
nice as pie,<BERTRAM:IDniceaspieID>
think outside the box,<BERTRAM:IDthinkoutsidetheboxID>
strain at the leash,<BERTRAM:IDstrainattheleashID>
burn the candle at both ends,<BERTRAM:IDburnthecandleatbothendsID>
make a pitch,<BERTRAM:IDmakeapitchID>
go the whole hog,<BERTRAM:IDgothewholehogID>
nip and tuck,<BERTRAM:IDnipandtuckID>
slow but sure,<BERTRAM:IDslowbutsureID>
make tracks,<BERTRAM:IDmaketracksID>
poor little rich girl,<BERTRAM:IDpoorlittlerichgirlID>
call off the dogs,<BERTRAM:IDcalloffthedogsID>
speak your mind,<BERTRAM:IDspeakyourmindID>
to a nicety,<BERTRAM:IDtoanicetyID>
cut the Gordian knot,<BERTRAM:IDcutthegordianknotID>
blood and guts,<BERTRAM:IDbloodandgutsID>
leave someone in the lurch,<BERTRAM:IDleavesomeoneinthelurchID>
throw good money after bad,<BERTRAM:IDthrowgoodmoneyafterbadID>
man of the cloth,<BERTRAM:IDmanoftheclothID>
cry wolf,<BERTRAM:IDcrywolfID>
you can't teach an old dog new tricks,<BERTRAM:IDyoucantteachanolddognewtricksID>
on the cuff,<BERTRAM:IDonthecuffID>
pass the time of day,<BERTRAM:IDpassthetimeofdayID>
away with the fairies,<BERTRAM:IDawaywiththefairiesID>
sweat like a pig,<BERTRAM:IDsweatlikeapigID>
like peas in a pod,<BERTRAM:IDlikepeasinapodID>
give someone grief,<BERTRAM:IDgivesomeonegriefID>
pay the piper,<BERTRAM:IDpaythepiperID>
on the lam,<BERTRAM:IDonthelamID>
at a canter,<BERTRAM:IDatacanterID>
sweet nothings,<BERTRAM:IDsweetnothingsID>
rewrite history,<BERTRAM:IDrewritehistoryID>
make heavy weather of,<BERTRAM:IDmakeheavyweatherofID>
stay the course,<BERTRAM:IDstaythecourseID>
by a long shot,<BERTRAM:IDbyalongshotID>
blow someone's cover,<BERTRAM:IDblowsomeonescoverID>
drunk as a lord,<BERTRAM:IDdrunkasalordID>
prick up your ears,<BERTRAM:IDprickupyourearsID>
keep up with the Joneses,<BERTRAM:IDkeepupwiththejonesesID>
give someone a bloody nose,<BERTRAM:IDgivesomeoneabloodynoseID>
bang to rights,<BERTRAM:IDbangtorightsID>
dog tired,<BERTRAM:IDdogtiredID>
take up the gauntlet,<BERTRAM:IDtakeupthegauntletID>
never you mind,<BERTRAM:IDneveryoumindID>
cast pearls before swine,<BERTRAM:IDcastpearlsbeforeswineID>
kick the bucket,<BERTRAM:IDkickthebucketID>
full whack,<BERTRAM:IDfullwhackID>
close ranks,<BERTRAM:IDcloseranksID>
like a bear with a sore head,<BERTRAM:IDlikeabearwithasoreheadID>
rise and shine,<BERTRAM:IDriseandshineID>
rub someone the wrong way,<BERTRAM:IDrubsomeonethewrongwayID>
kick up your heels,<BERTRAM:IDkickupyourheelsID>
vale of tears,<BERTRAM:IDvaleoftearsID>
have a mountain to climb,<BERTRAM:IDhaveamountaintoclimbID>
put the kibosh on,<BERTRAM:IDputthekiboshonID>
hit the ceiling,<BERTRAM:IDhittheceilingID>
what goes around comes around,<BERTRAM:IDwhatgoesaroundcomesaroundID>
pushing up the daisies,<BERTRAM:IDpushingupthedaisiesID>
peed off,<BERTRAM:IDpeedoffID>
money talks,<BERTRAM:IDmoneytalksID>
to beat the band,<BERTRAM:IDtobeatthebandID>
before you can say Jack Robinson,<BERTRAM:IDbeforeyoucansayjackrobinsonID>
clear as mud,<BERTRAM:IDclearasmudID>
by the seat of your pants,<BERTRAM:IDbytheseatofyourpantsID>
on the bounce,<BERTRAM:IDonthebounceID>
gild the lily,<BERTRAM:IDgildthelilyID>
cry uncle,<BERTRAM:IDcryuncleID>
high and mighty,<BERTRAM:IDhighandmightyID>
pick holes,<BERTRAM:IDpickholesID>
beer and skittles,<BERTRAM:IDbeerandskittlesID>
rattle someone's cage,<BERTRAM:IDrattlesomeonescageID>
talk nineteen to the dozen,<BERTRAM:IDtalknineteentothedozenID>
press the flesh,<BERTRAM:IDpressthefleshID>
stick in your craw,<BERTRAM:IDstickinyourcrawID>
fit like a glove,<BERTRAM:IDfitlikeagloveID>
bell the cat,<BERTRAM:IDbellthecatID>
eat someone out of house and home,<BERTRAM:IDeatsomeoneoutofhouseandhomeID>
discretion is the better part of valour,<BERTRAM:IDdiscretionisthebetterpartofvalourID>
cock a snook,<BERTRAM:IDcockasnookID>
never the twain shall meet,<BERTRAM:IDneverthetwainshallmeetID>
all over bar the shouting,<BERTRAM:IDalloverbartheshoutingID>
"once bitten, twice shy",<BERTRAM:IDoncebittentwiceshyID>
cut your coat according to your cloth,<BERTRAM:IDcutyourcoataccordingtoyourclothID>
heavy hitter,<BERTRAM:IDheavyhitterID>
the buck stops here,<BERTRAM:IDthebuckstopshereID>
keep your head,<BERTRAM:IDkeepyourheadID>
reds under the bed,<BERTRAM:IDredsunderthebedID>
two heads are better than one,<BERTRAM:IDtwoheadsarebetterthanoneID>
off the top of your head,<BERTRAM:IDoffthetopofyourheadID>
get on like a house on fire,<BERTRAM:IDgetonlikeahouseonfireID>
put the cat among the pigeons,<BERTRAM:IDputthecatamongthepigeonsID>
keep your powder dry,<BERTRAM:IDkeepyourpowderdryID>
bring home the bacon,<BERTRAM:IDbringhomethebaconID>
send someone to Coventry,<BERTRAM:IDsendsomeonetocoventryID>
pass muster,<BERTRAM:IDpassmusterID>
shoot from the hip,<BERTRAM:IDshootfromthehipID>
peaches and cream,<BERTRAM:IDpeachesandcreamID>
hard as nails,<BERTRAM:IDhardasnailsID>
put up or shut up,<BERTRAM:IDputuporshutupID>
beat the meat,<BERTRAM:IDbeatthemeatID>
hold all the aces,<BERTRAM:IDholdalltheacesID>
on the double,<BERTRAM:IDonthedoubleID>
push the boat out,<BERTRAM:IDpushtheboatoutID>
small potatoes,<BERTRAM:IDsmallpotatoesID>
in the ballpark,<BERTRAM:IDintheballparkID>
don't give up the day job,<BERTRAM:IDdontgiveupthedayjobID>
hot to trot,<BERTRAM:IDhottotrotID>
come up roses,<BERTRAM:IDcomeuprosesID>
sell your soul,<BERTRAM:IDsellyoursoulID>
on a silver platter,<BERTRAM:IDonasilverplatterID>
give as good as you get,<BERTRAM:IDgiveasgoodasyougetID>
silent as the grave,<BERTRAM:IDsilentasthegraveID>
not miss a trick,<BERTRAM:IDnotmissatrickID>
nothing to write home about,<BERTRAM:IDnothingtowritehomeaboutID>
at full tilt,<BERTRAM:IDatfulltiltID>
on the pull,<BERTRAM:IDonthepullID>
take it on the chin,<BERTRAM:IDtakeitonthechinID>
long time no see,<BERTRAM:IDlongtimenoseeID>
tip the scales,<BERTRAM:IDtipthescalesID>
champ at the bit,<BERTRAM:IDchampatthebitID>
eat your words,<BERTRAM:IDeatyourwordsID>
pearly whites,<BERTRAM:IDpearlywhitesID>
blow your top,<BERTRAM:IDblowyourtopID>
take a shine to,<BERTRAM:IDtakeashinetoID>
get a handle on,<BERTRAM:IDgetahandleonID>
shoot the messenger,<BERTRAM:IDshootthemessengerID>
silence is golden,<BERTRAM:IDsilenceisgoldenID>
tempt fate,<BERTRAM:IDtemptfateID>
not much cop,<BERTRAM:IDnotmuchcopID>
talk of the devil,<BERTRAM:IDtalkofthedevilID>
you could have knocked me down with a feather,<BERTRAM:IDyoucouldhaveknockedmedownwithafeatherID>
get down to brass tacks,<BERTRAM:IDgetdowntobrasstacksID>
charity begins at home,<BERTRAM:IDcharitybeginsathomeID>
have someone's guts for garters,<BERTRAM:IDhavesomeonesgutsforgartersID>
dig up dirt,<BERTRAM:IDdigupdirtID>
full speed ahead,<BERTRAM:IDfullspeedaheadID>
"hook, line, and sinker",<BERTRAM:IDhooklineandsinkerID>
meet someone halfway,<BERTRAM:IDmeetsomeonehalfwayID>
not worth the candle,<BERTRAM:IDnotworththecandleID>
turn turtle,<BERTRAM:IDturnturtleID>
recharge your batteries,<BERTRAM:IDrechargeyourbatteriesID>
take a leak,<BERTRAM:IDtakealeakID>
cross my heart,<BERTRAM:IDcrossmyheartID>
slip of the pen,<BERTRAM:IDslipofthepenID>
better safe than sorry,<BERTRAM:IDbettersafethansorryID>
right up your street,<BERTRAM:IDrightupyourstreetID>
put your cards on the table,<BERTRAM:IDputyourcardsonthetableID>
no rest for the wicked,<BERTRAM:IDnorestforthewickedID>
safe as houses,<BERTRAM:IDsafeashousesID>
push the panic button,<BERTRAM:IDpushthepanicbuttonID>
go down like a lead balloon,<BERTRAM:IDgodownlikealeadballoonID>
cloth ears,<BERTRAM:IDclothearsID>
asleep at the wheel,<BERTRAM:IDasleepatthewheelID>
Pyrrhic victory,<BERTRAM:IDpyrrhicvictoryID>
cut your losses,<BERTRAM:IDcutyourlossesID>
strike it rich,<BERTRAM:IDstrikeitrichID>
the ball is in someone's court,<BERTRAM:IDtheballisinsomeonescourtID>
cut from the same cloth,<BERTRAM:IDcutfromthesameclothID>
get your hands dirty,<BERTRAM:IDgetyourhandsdirtyID>
see the elephant,<BERTRAM:IDseetheelephantID>
tread on someone's toes,<BERTRAM:IDtreadonsomeonestoesID>
Dutch courage,<BERTRAM:IDdutchcourageID>
"like father, like son",<BERTRAM:IDlikefatherlikesonID>
down and dirty,<BERTRAM:IDdownanddirtyID>
plain Jane,<BERTRAM:IDplainjaneID>
stick to your guns,<BERTRAM:IDsticktoyourgunsID>
bells and whistles,<BERTRAM:IDbellsandwhistlesID>
take a flyer,<BERTRAM:IDtakeaflyerID>
swing the lead,<BERTRAM:IDswingtheleadID>
eat your heart out,<BERTRAM:IDeatyourheartoutID>
she'll be right,<BERTRAM:IDshellberightID>
ride herd on,<BERTRAM:IDrideherdonID>
in high dudgeon,<BERTRAM:IDinhighdudgeonID>
pull your punches,<BERTRAM:IDpullyourpunchesID>
not to be sneezed at,<BERTRAM:IDnottobesneezedatID>
behind the curve,<BERTRAM:IDbehindthecurveID>
off and running,<BERTRAM:IDoffandrunningID>
straight from the horse's mouth,<BERTRAM:IDstraightfromthehorsesmouthID>
taste blood,<BERTRAM:IDtastebloodID>
bite the big one,<BERTRAM:IDbitethebigoneID>
take the fifth,<BERTRAM:IDtakethefifthID>
watch your back,<BERTRAM:IDwatchyourbackID>
draw a bead on,<BERTRAM:IDdrawabeadonID>
hang fire,<BERTRAM:IDhangfireID>
rhyme or reason,<BERTRAM:IDrhymeorreasonID>
blow off steam,<BERTRAM:IDblowoffsteamID>
not know you are born,<BERTRAM:IDnotknowyouarebornID>
betwixt and between,<BERTRAM:IDbetwixtandbetweenID>
stubborn as a mule,<BERTRAM:IDstubbornasamuleID>
dog in the manger,<BERTRAM:IDdoginthemangerID>
thanks for nothing,<BERTRAM:IDthanksfornothingID>
turn up like a bad penny,<BERTRAM:IDturnuplikeabadpennyID>
meet your Waterloo,<BERTRAM:IDmeetyourwaterlooID>
rain or shine,<BERTRAM:IDrainorshineID>
sweep someone off their feet,<BERTRAM:IDsweepsomeoneofftheirfeetID>
jump down someone's throat,<BERTRAM:IDjumpdownsomeonesthroatID>
six feet under,<BERTRAM:IDsixfeetunderID>
split the difference,<BERTRAM:IDsplitthedifferenceID>
not just a pretty face,<BERTRAM:IDnotjustaprettyfaceID>
good Samaritan,<BERTRAM:IDgoodsamaritanID>
plan B,<BERTRAM:IDplanbID>
banana republic,<BERTRAM:IDbananarepublicID>
cruising for a bruising,<BERTRAM:IDcruisingforabruisingID>
prop up the bar,<BERTRAM:IDpropupthebarID>
run before you can walk,<BERTRAM:IDrunbeforeyoucanwalkID>
beat the daylights out of,<BERTRAM:IDbeatthedaylightsoutofID>
stay the distance,<BERTRAM:IDstaythedistanceID>
put the moves on,<BERTRAM:IDputthemovesonID>
hit the ground running,<BERTRAM:IDhitthegroundrunningID>
pigs might fly,<BERTRAM:IDpigsmightflyID>
lie through your teeth,<BERTRAM:IDliethroughyourteethID>
tell tales out of school,<BERTRAM:IDtelltalesoutofschoolID>
in your element,<BERTRAM:IDinyourelementID>
let the genie out of the bottle,<BERTRAM:IDletthegenieoutofthebottleID>
under the gun,<BERTRAM:IDunderthegunID>
let the cat out of the bag,<BERTRAM:IDletthecatoutofthebagID>
rough around the edges,<BERTRAM:IDrougharoundtheedgesID>
cast the first stone,<BERTRAM:IDcastthefirststoneID>
get your skates on,<BERTRAM:IDgetyourskatesonID>
close but no cigar,<BERTRAM:IDclosebutnocigarID>
duck soup,<BERTRAM:IDducksoupID>
walk on eggshells,<BERTRAM:IDwalkoneggshellsID>
meet your match,<BERTRAM:IDmeetyourmatchID>
snap someone's head off,<BERTRAM:IDsnapsomeonesheadoffID>
up with the lark,<BERTRAM:IDupwiththelarkID>
get someone's goat,<BERTRAM:IDgetsomeonesgoatID>
in two shakes,<BERTRAM:IDintwoshakesID>
present company excepted,<BERTRAM:IDpresentcompanyexceptedID>
up a gum tree,<BERTRAM:IDupagumtreeID>
an Englishman's home is his castle,<BERTRAM:IDanenglishmanshomeishiscastleID>
spit feathers,<BERTRAM:IDspitfeathersID>
reinvent the wheel,<BERTRAM:IDreinventthewheelID>
still waters run deep,<BERTRAM:IDstillwatersrundeepID>
off your rocker,<BERTRAM:IDoffyourrockerID>
have a bash,<BERTRAM:IDhaveabashID>
run into the sand,<BERTRAM:IDrunintothesandID>
keep your eyes peeled,<BERTRAM:IDkeepyoureyespeeledID>
make bricks without straw,<BERTRAM:IDmakebrickswithoutstrawID>
too many cooks spoil the broth,<BERTRAM:IDtoomanycooksspoilthebrothID>
my foot!,<BERTRAM:IDmyfootID>
play for keeps,<BERTRAM:IDplayforkeepsID>
ahead of the curve,<BERTRAM:IDaheadofthecurveID>
bundle of joy,<BERTRAM:IDbundleofjoyID>
on a full stomach,<BERTRAM:IDonafullstomachID>
behind the eight ball,<BERTRAM:IDbehindtheeightballID>
follow your nose,<BERTRAM:IDfollowyournoseID>
take the gilt off the gingerbread,<BERTRAM:IDtakethegiltoffthegingerbreadID>
talk turkey,<BERTRAM:IDtalkturkeyID>
all over the show,<BERTRAM:IDallovertheshowID>
shuffle off this mortal coil,<BERTRAM:IDshuffleoffthismortalcoilID>
throw the baby out with the bathwater,<BERTRAM:IDthrowthebabyoutwiththebathwaterID>
feast or famine,<BERTRAM:IDfeastorfamineID>
seize the day,<BERTRAM:IDseizethedayID>
bum steer,<BERTRAM:IDbumsteerID>
every dog has its day,<BERTRAM:IDeverydoghasitsdayID>
bring someone to book,<BERTRAM:IDbringsomeonetobookID>
"in for a penny, in for a pound",<BERTRAM:IDinforapennyinforapoundID>
queer someone's pitch,<BERTRAM:IDqueersomeonespitchID>
near the knuckle,<BERTRAM:IDneartheknuckleID>
ask for the moon,<BERTRAM:IDaskforthemoonID>
die on the vine,<BERTRAM:IDdieonthevineID>
